id,name,sector,stage,location,funding_needed,traction,team_score,market_size,founded_year,revenue_arr,employees,website,business_model,problem,solution,description,tags
startup_034,SalesOrbit,SaaS,Seed,"Bangalore, India",3.0,7.4,8.3,95.0,2022,0.8,29,https://salesorbit.io,Per-seat SaaS subscription,"Indian B2B SaaS companies spend 38% of revenue on sales, yet 71% of reps miss quota. CRMs like Salesforce are complex, under-adopted, and don't help sales reps prioritise the right prospects at the right time.","SalesOrbit is a sales intelligence and automation platform that integrates with existing CRMs to provide AI-generated deal health scores, automatic meeting summaries, next-best-action prompts, and a 'deal radar' that monitors intent signals from LinkedIn, news, and financial filings of target accounts.","SalesOrbit is used by 180 B2B SaaS and IT services companies in India. Sales reps using SalesOrbit close 2.3x more deals. Average deal cycle shortened by 28%. Integration with HubSpot, Zoho CRM, and Salesforce. Three large outsourced sales agencies have embedded the platform in their operations. Sequoia Scout recommended for India Surge accelerator.",saas|sales|crm|ai|b2b|india
startup_035,SupplySync,SaaS,Series B,"Chennai, India",16.0,9.0,9.1,310.0,2019,8.6,192,https://supplysync.io,Enterprise SaaS subscription,"Manufacturing companies in India lose ₹1.8 lakh crore annually to supply chain disruptions. Existing ERP supply chain modules are rigid, built for stable environments, and unable to respond dynamically to multi-tier supplier disruptions, port congestion, or raw material price shocks.","SupplySync is an AI-powered supply chain control tower that ingests data from ERP, logistics APIs, customs ports, weather feeds, and commodity exchanges to provide a real-time risk map of the entire supplier network. It auto-generates alternate sourcing recommendations, hedge triggers, and scenario playbooks.","SupplySync serves 68 enterprise manufacturers including Tata Steel, Bosch India, and two Japanese auto OEMs. Average client reduces supply disruption costs by 29%. The platform monitors 4.2 million SKUs and 18,000 tier-1/tier-2 suppliers in real time. NRR is 141%. Series B will fund expansion to ASEAN markets and an automotive vertical module.",supply-chain|saas|enterprise|ai|b2b|india
startup_036,StyleMart,E-Commerce,Series A,"Mumbai, India",9.0,8.6,8.4,260.0,2021,4.8,104,https://stylemart.in,Commission marketplace + private label,"India's 70,000 independent fashion designers have no scalable platform to reach consumers beyond Instagram DMs and limited local clientele. Consumers want unique, artisan fashion but are unable to discover trustworthy indie designers.","StyleMart is a curated D2C fashion marketplace for independent Indian designers. An AI style engine recommends designers based on body type, aesthetic preference, and occasion. Virtual try-on using AR reduces returns. Designers get inventory financing, logistics, and photoshoot services. StyleMart's private label fills gaps with trend-led basics.","StyleMart lists 4,200 independent designers with 280,000 SKUs. Monthly GMV is ₹22 crore growing at 8% month-on-month. Average order value is ₹3,800. Return rate is 14%, half the industry average, driven by AI-powered size recommendation. Virtual try-on adoption is 42% of sessions. Featured in Vogue India's Top Fashion Tech 2023.",fashion|marketplace|d2c|ar|ai|ecommerce|india
startup_037,GrocerHub,E-Commerce,Series B,"Delhi, India",20.0,9.1,8.9,400.0,2019,11.2,320,https://grocerhub.in,Marketplace commission + private label,"India's kirana stores (12 million outlets) have inventory stockout rates of 18% and no demand forecasting tools. Distributors have poor visibility into last-mile demand. Online grocery penetration is 4%, leaving a massive market underserved.","GrocerHub is a B2B2C platform that digitises kirana stores with a point-of-sale app, inventory management, and demand forecasting. Retailers order stock from GrocerHub's dark warehouses with same-day delivery. Consumers order groceries via the GrocerHub app fulfilled through the nearest digitised kirana store within 20 minutes.","GrocerHub has 34,000 digitised kirana stores across Delhi, Gurgaon, Noida, and Jaipur. Monthly GMV is ₹88 crore. Kirana partners earn 22% more revenue post-digitisation. Consumer app has 1.1 million monthly active users. Average delivery time is 17 minutes. Partnered with HUL, P&G, and ITC for direct distribution. Series B to fund 10 new city launches.",grocery|kirana|q-commerce|b2b2c|dark-store|india
startup_038,ArtisanNest,E-Commerce,Seed,"Jaipur, India",2.5,6.8,7.6,55.0,2022,0.5,21,https://artisannest.com,Commission + export logistics fee,"India has 7 million registered artisans in handicrafts whose income averages ₹3,200/month, 40% below poverty line. They depend on middlemen who take 60-70% margin. Global demand for authentic Indian handicrafts is growing at 12% annually but artisans cannot access it.","ArtisanNest is a global D2C marketplace connecting Indian artisans directly to buyers in 42 countries. It provides artisans with a smartphone-based product listing tool in regional languages, export documentation automation, GST-exempt small export facilitation, and USD payments via Payoneer.","ArtisanNest lists 8,400 artisans across Rajasthan, UP, and West Bengal. Monthly export GMV is ₹3.4 crore growing 14% month-on-month. Average artisan income increased 2.8x post-onboarding. US and Germany are top buyer markets. SEPC (Spices Export Promotion Council equivalent for handicrafts) has endorsed the platform. Government of Rajasthan is a co-promoter.",handicrafts|artisans|ecommerce|exports|d2c|india
startup_039,FreshRoute,E-Commerce,Series A,"Bangalore, India",8.5,8.2,8.5,180.0,2020,3.6,118,https://freshroute.in,Subscription box + a la carte orders,India wastes 40% of fresh produce post-harvest due to broken supply chains. Urban consumers pay 80-120% premium at modern retail for produce that has spent 7-12 days in the supply chain. Farmers get only 23% of consumer rupee.,"FreshRoute is a farm-to-fork subscription platform that aggregates produce directly from 1,200 partner farmers at harvest and delivers personalised weekly vegetable and fruit boxes to urban subscribers within 24 hours of harvest. Route-optimised cold-chain vans serve 10km micro-zones. Subscription analytics help farmers plan future crops.","FreshRoute has 62,000 active subscribers across Bangalore, Hyderabad, and Pune. Average subscription value is ₹1,800/month. Farmer income improvement is 38% vs mandis. Produce freshness score (Brix test) is 94% vs 71% for modern retail. Monthly revenue growing at 6.2%. Series A to fund 4 new cities and proprietary cold chain infra.",farm-to-fork|fresh-produce|subscription|d2c|cold-chain|india
startup_040,PetParent,E-Commerce,Seed,"Mumbai, India",2.0,7.0,7.8,48.0,2022,0.6,19,https://petparent.in,Subscription + marketplace,"India's pet care market is growing at 20% CAGR yet is highly fragmented. Pet owners lack access to veterinary consultation, quality nutrition, and emergency care outside metro cities. Existing platforms only serve tier-1 cities.","PetParent is a full-stack pet care super-app combining a teleconsultation marketplace for vets, a personalised pet nutrition subscription (vet-formulated), a pet insurance module, pet-sitter/groomer discovery, and an emergency vet locator with 18-minute average response time.","PetParent has 48,000 pet owner users and 2,200 vet profiles. Monthly subscriptions are 8,400. App rating is 4.7 stars. Vet consultation NPS is 78. Partnered with Royal Canin, Hill's Pet Nutrition, and 3 pet insurance companies. Expanding to 12 tier-2 cities with offline vet clinic partnerships. First pet-focused startup to get ICAR (Animal Sciences) advisory board backing.",petcare|vettech|subscription|marketplace|d2c|india
startup_041,PixelRealm,GameTech,Series A,"Bangalore, India",8.0,8.5,8.8,240.0,2020,3.4,94,https://pixelrealm.gg,IAP + battle pass subscription,"India has 568 million gamers but only 4% are paying users because game monetisation models are designed for Western markets with disposable income 8x higher. Indian game studios lack the IP, production quality, and retention mechanics to compete with global titles.","PixelRealm is a mobile gaming studio building India-first games with mythological narratives, regional language support, and micro-payment monetisation optimised for ₹10-50 price points. Its proprietary Retention Engine uses ML-based content scheduling, live ops calendar automation, and dynamic difficulty adjustment.",PixelRealm's flagship title 'Mahayodha' has 14 million downloads and 2.8 million DAU in 18 months. ARPU is ₹42/month. The Retention Engine improved D30 retention from 8% to 22%. Three new titles in production with a co-development deal with a US publisher. Recognised by FICCI Frames as Best Mobile Game Studio India 2023.,gaming|mobile|india-first|ml|iap|b2c
startup_042,MetaArena,GameTech,Seed,"Hyderabad, India",3.5,7.1,8.0,110.0,2022,0.8,32,https://metaarena.gg,Platform fee + creator royalties,"India has 400,000 mobile esports players competing in fragmented, unverified tournaments with high fraud, delayed prize payouts, and no structured ranking system. Brands cannot find reliable inventory to engage India's esports audience.","MetaArena is a mobile esports tournament platform with skill-based matchmaking, blockchain-verified prize pools, a national ranking ladder, and a creator marketplace where streamers can host branded tournaments. Brands get real-time audience analytics and in-game ad inventory.","MetaArena has hosted 28,000 tournaments with 1.6 million unique players. Monthly tournament prize pool processed is ₹4.2 crore. Brand clients include Boat, Poco, and 3 gaming peripheral companies. Partnerships with BGMI, Freefire, and Call of Duty Mobile for official ranked events. User fraud rate is 0.4% vs industry 8%.",esports|gaming|blockchain|creator-economy|b2b2c|india
startup_043,GenomeX,BioTech,Series A,"Hyderabad, India",13.0,8.2,9.4,380.0,2020,3.8,86,https://genomex.bio,Diagnostic test + clinical trial services,"India has the highest absolute burden of genetic disorders globally — 20 million children born with congenital conditions annually. Genetic testing costs ₹30,000-₹2 lakh and takes 8 weeks, making it inaccessible for 96% of affected families. Only 12% of genetic conditions have approved treatments.","GenomeX has built India's first population-scale genomic sequencing and AI interpretation platform. Its next-generation sequencing panel covers 4,800 clinically actionable variants at a cost of ₹4,500. An AI diagnostic engine provides 98.1% accurate variant classification and auto-generates clinical reports in 72 hours.","GenomeX has performed 68,000 diagnostic tests at 240 partner hospitals and genetic counselling centres. It has India's largest variant database with 2.1 million Indian-ancestry data points, improving diagnostic yield by 31% over global references. Signed a clinical trial genomics deal with three global pharma companies worth $4.2 million. ICMR tie-up for national newborn screening programme.",genomics|diagnostics|ai|biotech|b2b|india
startup_044,PhageTech,BioTech,Seed,"Chandigarh, India",4.2,6.5,9.0,180.0,2022,0.3,18,https://phagetech.bio,Biotech CRO + pharma licensing,"Antimicrobial resistance (AMR) kills 700,000 people globally and 60,000 Indians annually. Antibiotic pipelines are drying up — only 4 new antibiotic classes have been approved in 40 years. Superbug infections in Indian ICUs have 47% mortality rates.",PhageTech engineers bacteriophages (viruses that kill bacteria) as precision alternatives to antibiotics. Its phage library covers 38 AMR pathogen strains. A proprietary directed evolution platform designs new phage variants in 8 weeks. It supplies phage cocktail formulations to hospitals for compassionate use and is building an IND for Phase 1 clinical trials.,PhageTech has supplied phage treatments for 90 compassionate use cases at PGIMER and AIIMS Delhi with 74% clinical success rate. Published 3 peer-reviewed papers. Collaboration with Wellcome Trust India and DBT Biosciences cluster. BIRAC BIG grant recipient. Founding team includes PhDs from CSIR-IMTECH with 12 combined publications on phage therapy.,phage-therapy|amr|biotech|cro|deeptech|india
startup_045,CellCraft,BioTech,Series B,"Bangalore, India",30.0,9.0,9.8,700.0,2017,13.5,230,https://cellcraft.bio,CAR-T manufacturing + royalty,"India has 1.4 million new cancer cases annually. CAR-T cell therapy, which cures 60-80% of relapsed blood cancers, costs ₹3-5 crore per patient from Western manufacturers. Zero domestic manufacturing capability exists, leaving 99% of eligible Indian patients without access.","CellCraft is India's first indigenous CAR-T cell therapy company. It has developed three CAR-T constructs (CD19, BCMA, CD22) manufactured in its GMP facility in Bangalore. Its end-to-end vein-to-vein process takes 18 days at a cost of ₹35 lakh, 90% cheaper than imported equivalents. A technology licensing deal with a US biotech is generating royalties.","CellCraft has treated 180 patients in ongoing Phase 2 trials with 71% complete remission in B-cell lymphoma. CDSCO approval application filed. ₹14 crore BIRAC Grand Challenge grant received. The manufacturing facility has capacity for 500 patients/year scalable to 2,000. Series B to build a second GMP facility and fund Phase 3 trial.",car-t|oncology|biotech|manufacturing|india
